Claim ID,Date of Claim,Claim Amount,Claim Status,Reason for Claim,Settlement Date,Policy ID
CLM77924411,01-08-2024,54655,Approved,Song member cover lose effect wall walk.,12-08-2024,POL56612277
CLM28779034,04-01-2024,94225,Pending,Mean model toward might main maintain.,17-02-2024,POL69932027
CLM42025979,30-03-2024,17652,Approved,Day outside produce easy.,,POL42688275
CLM69566101,04-01-2023,69929,Approved,Start after receive daughter newspaper change.,24-02-2023,POL66279716
CLM58620367,22-07-2022,96366,Approved,Policy yet yes improve draw some.,,POL77439955
CLM07454489,02-07-2020,63905,Denied,Success move worker among.,22-08-2020,POL64965934
CLM27552701,31-01-2022,61121,Pending,Professor four degree feeling person author cell.,18-02-2022,POL73019543
CLM77756278,22-08-2022,12547,Pending,Science own thing from class senior provide.,03-10-2022,POL19552952
CLM05146130,27-11-2020,57203,Denied,Together mouth various child cultural.,,POL07805552
CLM19272700,10-09-2020,62916,Approved,Both remain note instead first probably.,10-11-2020,POL88177917
CLM85060604,03-04-2021,79536,Denied,Company raise drive.,18-04-2021,POL71221796
CLM86056395,04-01-2023,21469,Denied,Church option sometimes pick their arm century.,16-03-2023,POL61467343
CLM98463712,08-12-2022,65329,Denied,Shake age official become season.,02-01-2023,POL62363777
CLM98579912,03-06-2024,80670,Pending,Seek political threat about join determine.,24-06-2024,POL50374708
CLM90637957,20-01-2021,45282,Pending,Network bit someone strong mention.,16-03-2021,POL88242759
CLM12125464,03-02-2024,50353,Denied,Window above operation perhaps teach east world bit.,21-02-2024,POL27437608
CLM45720439,03-05-2023,39427,Denied,Scientist account cover central song.,04-07-2023,POL77019254
CLM50141230,24-12-2021,43102,Pending,Always crime indeed idea back.,,POL72656147
CLM97150673,19-08-2024,35473,Pending,Center without look hundred difference writer most.,18-09-2024,POL19255943
CLM51837945,10-05-2022,13146,Approved,While operation interview determine let movement.,28-06-2022,POL85518381
CLM82967170,17-03-2022,2324,Pending,Option mean marriage news wait major.,06-04-2022,POL32845970
CLM62837956,08-05-2020,36126,Denied,Agent several by century quality dream above.,,POL95370014
CLM53724406,21-01-2020,80226,Approved,Director benefit movie want increase shake stage.,,POL45794212
CLM16412694,15-12-2022,32102,Approved,Nothing body who stand.,14-02-2023,POL61653642
CLM51625573,16-12-2023,31862,Pending,Only bill later huge.,13-01-2024,POL93167566
CLM51036457,12-06-2023,25719,Denied,Water reduce shoulder technology knowledge discussion network then.,05-08-2023,POL67872849
CLM04762722,17-08-2020,3571,Approved,Accept billion sure peace hold meeting.,05-09-2020,POL61884063
CLM43338826,28-05-2024,80190,Denied,Myself none late.,10-07-2024,POL89077589
CLM66194342,09-01-2023,56151,Denied,Bill few morning executive old.,05-04-2023,POL23806593
CLM27235742,26-12-2020,83640,Denied,Act new real know live.,,POL29474046
CLM02888122,16-07-2020,9836,Pending,Rule special Democrat million.,17-08-2020,POL96504333
